,ds,y,cap
113,2020-06-17,4.0,300
114,2020-06-18,6.0,300
115,2020-06-19,12.0,300
116,2020-06-20,3.0,300
117,2020-06-21,9.0,300
118,2020-06-22,10.0,300
119,2020-06-23,7.0,300
120,2020-06-24,16.0,300
121,2020-06-25,10.0,300
122,2020-06-26,9.0,300
123,2020-06-27,6.0,300
124,2020-06-28,8.0,300
125,2020-06-29,12.0,300
126,2020-06-30,17.0,300
127,2020-07-01,6.0,300
128,2020-07-02,15.0,300
129,2020-07-03,14.0,300
130,2020-07-04,7.0,300
131,2020-07-05,10.0,300
132,2020-07-06,13.0,300
133,2020-07-07,14.0,300
134,2020-07-08,12.0,300
135,2020-07-09,15.0,300
136,2020-07-10,12.0,300
137,2020-07-11,26.0,300
138,2020-07-12,12.0,300
139,2020-07-13,20.0,300
140,2020-07-14,17.0,300
142,2020-07-16,19.0,300
144,2020-07-18,16.0,300
145,2020-07-19,23.0,300
146,2020-07-20,9.0,300
148,2020-07-22,27.0,300
150,2020-07-24,32.0,300
153,2020-07-27,17.0,300
154,2020-07-28,36.0,300
159,2020-08-02,21.0,300
160,2020-08-03,21.0,300
165,2020-08-08,19.0,300
166,2020-08-09,26.0,300
169,2020-08-12,18.0,300
172,2020-08-15,25.0,300
178,2020-08-21,35.0,300
179,2020-08-22,32.0,300
180,2020-08-23,15.0,300
181,2020-08-24,24.0,300
183,2020-08-26,26.0,300
184,2020-08-27,28.0,300
185,2020-08-28,23.0,300
186,2020-08-29,25.0,300
187,2020-08-30,17.0,300
188,2020-08-31,25.0,300
189,2020-09-01,41.0,300
190,2020-09-02,24.0,300
191,2020-09-03,27.0,300
192,2020-09-04,24.0,300
193,2020-09-05,24.0,300
194,2020-09-06,5.0,300
195,2020-09-07,17.0,300
196,2020-09-08,20.0,300
197,2020-09-09,18.0,300
198,2020-09-10,23.0,300
199,2020-09-11,14.0,300
200,2020-09-12,18.0,300
201,2020-09-13,14.0,300
202,2020-09-14,14.0,300
203,2020-09-15,26.0,300
204,2020-09-16,24.0,300
205,2020-09-17,16.0,300
206,2020-09-18,18.0,300
207,2020-09-19,8.0,300
208,2020-09-20,4.0,300
209,2020-09-21,17.0,300
210,2020-09-22,15.0,300
211,2020-09-23,15.0,300
212,2020-09-24,18.0,300
213,2020-09-25,19.0,300
214,2020-09-26,13.0,300
215,2020-09-27,11.0,300
216,2020-09-28,18.0,300
217,2020-09-29,21.0,300
218,2020-09-30,11.0,300
219,2020-10-01,24.0,300
220,2020-10-02,9.0,300
221,2020-10-03,12.0,300
222,2020-10-04,5.0,300
223,2020-10-05,11.0,300
224,2020-10-06,14.0,300
225,2020-10-07,8.0,300
226,2020-10-08,12.0,300
228,2020-10-10,15.0,300
229,2020-10-11,9.0,300
232,2020-10-14,13.0,300
233,2020-10-15,12.0,300
234,2020-10-16,10.0,300
235,2020-10-17,4.0,300
236,2020-10-18,1.0,300
237,2020-10-19,9.0,300
239,2020-10-21,7.0,300
240,2020-10-22,13.0,300
242,2020-10-24,9.0,300
243,2020-10-25,4.0,300
244,2020-10-26,13.0,300
245,2020-10-27,18.0,300
246,2020-10-28,9.0,300
247,2020-10-29,9.0,300
248,2020-10-30,17.0,300
249,2020-10-31,20.0,300
250,2020-11-01,8.0,300
251,2020-11-02,7.0,300
253,2020-11-04,24.0,300
254,2020-11-05,10.0,300
255,2020-11-06,22.0,300
256,2020-11-07,7.0,300
257,2020-11-08,9.0,300
258,2020-11-09,20.0,300
260,2020-11-11,25.0,300
261,2020-11-12,14.0,300
262,2020-11-13,16.0,300
263,2020-11-14,11.0,300
264,2020-11-15,9.0,300
265,2020-11-16,12.0,300
266,2020-11-17,40.0,300
267,2020-11-18,14.0,300
268,2020-11-19,21.0,300
269,2020-11-20,30.0,300
270,2020-11-21,24.0,300
271,2020-11-22,12.0,300
272,2020-11-23,23.0,300
273,2020-11-24,36.0,300
274,2020-11-25,31.0,300
275,2020-11-26,47.0,300
277,2020-11-28,34.0,300
278,2020-11-29,20.0,300
279,2020-11-30,41.0,300
280,2020-12-01,47.0,300
281,2020-12-02,46.0,300
282,2020-12-03,43.0,300
283,2020-12-04,41.0,300
284,2020-12-05,41.0,300
285,2020-12-06,31.0,300
286,2020-12-07,30.0,300
289,2020-12-10,41.0,300
292,2020-12-13,31.0,300
297,2020-12-18,54.0,300
298,2020-12-19,16.0,300
299,2020-12-20,38.0,300
301,2020-12-22,65.0,300
302,2020-12-23,49.0,300
303,2020-12-24,54.0,300
304,2020-12-25,34.0,300
305,2020-12-26,34.0,300
306,2020-12-27,32.0,300
307,2020-12-28,43.0,300
309,2020-12-30,45.0,300
310,2020-12-31,47.0,300
312,2021-01-02,24.0,300
313,2021-01-03,20.0,300
315,2021-01-05,44.0,300
317,2021-01-07,40.0,300
318,2021-01-08,62.0,300
319,2021-01-09,27.0,300
320,2021-01-10,26.0,300
321,2021-01-11,40.0,300
323,2021-01-13,58.0,300
324,2021-01-14,29.0,300
325,2021-01-15,42.0,300
326,2021-01-16,31.0,300
327,2021-01-17,19.0,300
328,2021-01-18,33.0,300
329,2021-01-19,50.0,300
331,2021-01-21,48.0,300
333,2021-01-23,36.0,300
334,2021-01-24,27.0,300
335,2021-01-25,39.0,300
338,2021-01-28,36.0,300
339,2021-01-29,34.0,300
340,2021-01-30,27.0,300
341,2021-01-31,15.0,300
343,2021-02-02,53.0,300
344,2021-02-03,29.0,300
348,2021-02-07,14.0,300
349,2021-02-08,33.0,300
354,2021-02-13,30.0,300
355,2021-02-14,11.0,300
360,2021-02-19,47.0,300
361,2021-02-20,38.0,300
362,2021-02-21,32.0,300
365,2021-02-24,70.0,300
366,2021-02-25,51.0,300
367,2021-02-26,77.0,300
368,2021-02-27,72.0,300
369,2021-02-28,44.0,300
370,2021-03-01,80.0,300
371,2021-03-02,86.0,300
373,2021-03-04,91.0,300
375,2021-03-06,78.0,300
378,2021-03-09,108.0,300
380,2021-03-11,100.0,300
384,2021-03-15,96.0,300
387,2021-03-18,126.0,300
389,2021-03-20,90.0,300
390,2021-03-21,68.0,300
391,2021-03-22,112.0,300
396,2021-03-27,101.0,300
397,2021-03-28,63.0,300
398,2021-03-29,112.0,300
399,2021-03-30,158.0,300
401,2021-04-01,138.0,300
404,2021-04-04,54.0,300
405,2021-04-05,81.0,300
409,2021-04-09,115.0,300
410,2021-04-10,92.0,300
411,2021-04-11,50.0,300
412,2021-04-12,83.0,300
413,2021-04-13,132.0,300
414,2021-04-14,82.0,300
415,2021-04-15,96.0,300
417,2021-04-17,61.0,300
418,2021-04-18,41.0,300
419,2021-04-19,82.0,300
421,2021-04-21,82.0,300
423,2021-04-23,98.0,300
424,2021-04-24,71.0,300
425,2021-04-25,34.0,300
426,2021-04-26,71.0,300
427,2021-04-27,111.0,300
428,2021-04-28,88.0,300
429,2021-04-29,72.0,300
430,2021-04-30,73.0,300
431,2021-05-01,58.0,300
432,2021-05-02,36.0,300
434,2021-05-04,117.0,300
435,2021-05-05,68.0,300
436,2021-05-06,72.0,300
439,2021-05-09,23.0,300
441,2021-05-11,90.0,300
442,2021-05-12,58.0,300
445,2021-05-15,52.0,300
446,2021-05-16,31.0,300
450,2021-05-20,58.0,300
451,2021-05-21,63.0,300
452,2021-05-22,47.0,300
453,2021-05-23,33.0,300
454,2021-05-24,51.0,300
455,2021-05-25,73.0,300
456,2021-05-26,60.0,300
457,2021-05-27,67.0,300
458,2021-05-28,69.0,300
459,2021-05-29,32.0,300
460,2021-05-30,37.0,300
461,2021-05-31,65.0,300
462,2021-06-01,78.0,300
463,2021-06-02,63.0,300
464,2021-06-03,44.0,300
465,2021-06-04,67.0,300
466,2021-06-05,44.0,300
467,2021-06-06,33.0,300
468,2021-06-07,58.0,300
469,2021-06-08,84.0,300
470,2021-06-09,51.0,300
471,2021-06-10,45.0,300
472,2021-06-11,52.0,300
473,2021-06-12,42.0,300
474,2021-06-13,27.0,300
475,2021-06-14,42.0,300
476,2021-06-15,76.0,300
477,2021-06-16,54.0,300
478,2021-06-17,42.0,300
479,2021-06-18,61.0,300
480,2021-06-19,46.0,300
481,2021-06-20,43.0,300
482,2021-06-21,46.0,300
483,2021-06-22,62.0,300
484,2021-06-23,60.0,300
485,2021-06-24,59.0,300
487,2021-06-26,45.0,300
488,2021-06-27,33.0,300
489,2021-06-28,46.0,300
490,2021-06-29,72.0,300
491,2021-06-30,37.0,300
492,2021-07-01,47.0,300
493,2021-07-02,46.0,300
494,2021-07-03,33.0,300
495,2021-07-04,27.0,300
496,2021-07-05,50.0,300
498,2021-07-07,30.0,300
499,2021-07-08,46.0,300
500,2021-07-09,30.0,300
501,2021-07-10,49.0,300
502,2021-07-11,17.0,300
503,2021-07-12,38.0,300
504,2021-07-13,54.0,300
505,2021-07-14,35.0,300
506,2021-07-15,29.0,300
507,2021-07-16,46.0,300
508,2021-07-17,26.0,300
509,2021-07-18,25.0,300
510,2021-07-19,28.0,300
511,2021-07-20,53.0,300
512,2021-07-21,27.0,300
513,2021-07-22,28.0,300
514,2021-07-23,19.0,300
515,2021-07-24,45.0,300
516,2021-07-25,23.0,300
517,2021-07-26,28.0,300
518,2021-07-27,49.0,300
519,2021-07-28,31.0,300
520,2021-07-29,30.0,300
521,2021-07-30,28.0,300
522,2021-07-31,18.0,300
523,2021-08-01,17.0,300
524,2021-08-02,28.0,300
525,2021-08-03,44.0,300
526,2021-08-04,25.0,300
527,2021-08-05,25.0,300
528,2021-08-06,32.0,300
529,2021-08-07,21.0,300
530,2021-08-08,8.0,300
531,2021-08-09,26.0,300
532,2021-08-10,41.0,300
533,2021-08-11,20.0,300
534,2021-08-12,25.0,300
535,2021-08-13,21.0,300
536,2021-08-14,17.0,300
537,2021-08-15,6.0,300
538,2021-08-16,31.0,300
539,2021-08-17,40.0,300
540,2021-08-18,27.0,300
541,2021-08-19,21.0,300
542,2021-08-20,24.0,300
543,2021-08-21,17.0,300
544,2021-08-22,9.0,300
545,2021-08-23,27.0,300
546,2021-08-24,28.0,300
547,2021-08-25,23.0,300
548,2021-08-26,26.0,300
549,2021-08-27,21.0,300
550,2021-08-28,12.0,300
551,2021-08-29,6.0,300
552,2021-08-30,20.0,300
553,2021-08-31,37.0,300
554,2021-09-01,21.0,300
555,2021-09-02,30.0,300
556,2021-09-03,20.0,300
557,2021-09-04,14.0,300
558,2021-09-05,4.0,300
559,2021-09-06,21.0,300
560,2021-09-07,18.0,300
561,2021-09-08,22.0,300
562,2021-09-09,26.0,300
563,2021-09-10,28.0,300
564,2021-09-11,18.0,300
565,2021-09-12,11.0,300
566,2021-09-13,17.0,300
567,2021-09-14,29.0,300
568,2021-09-15,28.0,300
569,2021-09-16,23.0,300
570,2021-09-17,22.0,300
571,2021-09-18,12.0,300
572,2021-09-19,8.0,300
573,2021-09-20,23.0,300
574,2021-09-21,21.0,300
575,2021-09-22,27.0,300
576,2021-09-23,14.0,300
